periodo,arrecadacao_top10,pct_var_top10,arrecadacao_total,pct_var_total,lancamentos,lancamento_n1,genero,orcamento,tempo_execucao,semana,feriado_prolongado,arrecadacao_top10_num,arrecadacao_total_num,orcamento_num,pct_var_top10_num,pct_var_total_num,tempo_execucao_min
"Dec 31-Jan 2, 2022","$95,723,075",-31.6%,"$98,910,707",-31.2%,35,Spider-Man: No Way Home,-,-,-,53,false,95723075,98910707,NA,-31.6,-31.2,NA
Dec 24-26,"$139,868,872",-50.4%,"$143,835,740",-49.2%,40,Spider-Man: No Way Home,-,-,-,52,false,139868872,143835740,NA,-50.4,-49.2,NA
Dec 17-19,"$281,737,588",+591.1%,"$282,972,675",+544%,43,Spider-Man: No Way Home,-,-,-,51,false,281737588,282972675,NA,591.1,544,NA
Dec 10-12,"$40,765,448",-14.2%,"$43,940,100",-16.6%,45,West Side Story,-,-,-,50,false,40765448,43940100,NA,-14.2,-16.6,NA
Dec 3-5Post-Thanksgiving,"$47,539,355",-48.7%,"$52,704,939",-45.4%,47,Encanto,-,-,-,49,false,47539355,52704939,NA,-48.7,-45.4,NA
Nov 26-28Thanksgiving 3-Day,"$92,724,526",+15.4%,"$96,526,140",+15.5%,51,Encanto,-,-,-,48,false,92724526,96526140,NA,15.4,15.5,NA
Nov 25-28Thanksgiving 4-Day,"$112,542,037",-,"$116,694,008",-,38,Encanto,-,-,-,48,true,112542037,116694008,NA,NA,NA,NA
Nov 24-28Thanksgiving 5-Day,"$137,256,716",-,"$142,082,464",-,42,Encanto,-,-,-,48,true,137256716,142082464,NA,NA,NA,NA
Nov 19-21,"$80,359,448",+22%,"$83,605,882",+18.4%,50,Ghostbusters: Afterlife,-,-,-,47,false,80359448,83605882,NA,22,18.4,NA
Nov 12-14,"$65,852,727",-36.7%,"$70,592,982",-35.6%,40,Eternals,-,-,-,46,false,65852727,70592982,NA,-36.7,-35.6,NA
Nov 5-7,"$103,960,166",+68.2%,"$109,680,290",+70.5%,42,Eternals,-,-,-,45,false,103960166,109680290,NA,68.2,70.5,NA
Oct 29-31,"$61,792,453",-34.7%,"$64,314,942",-33%,45,Dune: Part One,-,-,-,44,false,61792453,64314942,NA,-34.7,-33,NA
Oct 22-24,"$94,686,103",-11.7%,"$95,933,008",-12.2%,47,Dune: Part One,-,-,-,43,false,94686103,95933008,NA,-11.7,-12.2,NA
Oct 15-17,"$107,208,512",<0.1%,"$109,291,570",+0.3%,48,Halloween Kills,-,-,-,42,false,107208512,109291570,NA,0.1,0.3,NA
Oct 8-11Indig. Peoples' Day wknd,"$121,111,244",-,"$122,533,028",-,34,No Time to Die,-,-,-,41,true,121111244,122533028,NA,NA,NA,NA
Oct 8-10,"$107,172,846",-15%,"$108,944,907",-15.6%,50,No Time to Die,-,-,-,41,false,107172846,108944907,NA,-15,-15.6,NA
Oct 1-3,"$126,019,090",+251.7%,"$129,067,431",+232.8%,54,Venom: Let There Be Carnage,-,-,-,40,false,126019090,129067431,NA,251.7,232.8,NA
Sep 24-26,"$35,828,704",-20.1%,"$38,776,611",-19.2%,53,Shang-Chi and the Legend of the Ten Rings,-,-,-,39,false,35828704,38776611,NA,-20.1,-19.2,NA
Sep 17-19,"$44,862,382",-23.3%,"$47,995,991",-21.7%,54,Shang-Chi and the Legend of the Ten Rings,-,-,-,38,false,44862382,47995991,NA,-23.3,-21.7,NA
Sep 10-12,"$58,513,420",-46%,"$61,319,968",-44.5%,53,Shang-Chi and the Legend of the Ten Rings,-,-,-,37,false,58513420,61319968,NA,-46,-44.5,NA
Sep 3-5,"$108,338,758",+88.1%,"$110,442,804",+79.4%,45,Shang-Chi and the Legend of the Ten Rings,-,-,-,36,false,108338758,110442804,NA,88.1,79.4,NA
Sep 3-6Labor Day wknd,"$136,008,971",-,"$139,020,923",-,48,Shang-Chi and the Legend of the Ten Rings,-,-,-,36,true,136008971,139020923,NA,NA,NA,NA
Aug 27-29,"$57,594,823",-2.5%,"$61,554,358",-2.9%,54,Candyman,-,-,-,35,false,57594823,61554358,NA,-2.5,-2.9,NA
Aug 20-22,"$59,076,598",-18.2%,"$63,396,181",-16.1%,53,Free Guy,-,-,-,34,false,59076598,63396181,NA,-18.2,-16.1,NA
Aug 13-15,"$72,234,401",+16.3%,"$75,602,898",+16.1%,50,Free Guy,-,-,-,33,false,72234401,75602898,NA,16.3,16.1,NA
Aug 6-8,"$62,114,018",-17.2%,"$65,132,575",-17.1%,49,The Suicide Squad,-,-,-,32,false,62114018,65132575,NA,-17.2,-17.1,NA
