periodo,arrecadacao_total,arrecadacao_total_num,lancamento_n1,lancamentos,semana
Dec 17-19,"$282,972,675",282972675,Spider-Man: No Way Home,43,51
Dec 24-26,"$143,835,740",143835740,Spider-Man: No Way Home,40,52
Nov 24-28Thanksgiving 5-Day,"$142,082,464",142082464,Encanto,42,48
Sep 3-6Labor Day wknd,"$139,020,923",139020923,Shang-Chi and the Legend of the Ten Rings,48,36
Oct 1-3,"$129,067,431",129067431,Venom: Let There Be Carnage,54,40
Oct 8-11Indig. Peoples' Day wknd,"$122,533,028",122533028,No Time to Die,34,41
Jul 9-11,"$119,206,927",119206927,Black Widow,41,28
Nov 25-28Thanksgiving 4-Day,"$116,694,008",116694008,Encanto,38,48
Sep 3-5,"$110,442,804",110442804,Shang-Chi and the Legend of the Ten Rings,45,36
Nov 5-7,"$109,680,290",109680290,Eternals,42,45
